Timestamp (GMT),Hours from Pitch,DO (mg/L),pH,Gravity (°P),Pressure (Bar),Fluid Temp (°C),Comp. Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm),Notes,Data Source,style_name
11/09/2024 15:32,28.53,0.27,4.91,12,0.09,22.1,22.456,22,1790,,BrewIQ,SHU Lager
11/09/2024 15:52,28.87,0.27,4.94,12,0.09,22.1,22.456,22,1790,,BrewIQ,SHU Lager
11/09/2024 16:12,29.2,0.27,4.93,12,0.08,22.2,22.556,22,1789,,BrewIQ,SHU Lager
11/09/2024 16:32,29.53,0.27,4.92,12,0.09,22.2,22.556,22,1791,,BrewIQ,SHU Lager
11/09/2024 16:52,29.87,0.27,4.92,11.9,0.08,22.2,22.556,22,1788,,BrewIQ,SHU Lager
11/09/2024 17:12,30.2,0.27,4.97,11.9,0.09,22.2,22.556,22,1793,,BrewIQ,SHU Lager
11/09/2024 17:32,30.53,0.27,4.96,11.8,0.09,21.9,22.256,22,1785,,BrewIQ,SHU Lager
11/09/2024 17:52,30.87,0.28,4.94,11.8,0.09,21.9,22.256,22,1795,,BrewIQ,SHU Lager
11/09/2024 18:12,31.2,0.28,4.96,11.7,0.09,21.9,22.256,22,1796,,BrewIQ,SHU Lager
11/09/2024 18:32,31.53,0.28,4.98,11.6,0.09,22,22.356,22,1799,,BrewIQ,SHU Lager
11/09/2024 18:52,31.87,0.27,4.95,11.6,0.09,22,22.356,22,1799,,BrewIQ,SHU Lager
11/09/2024 19:12,32.2,0.27,4.94,11.6,0.09,22.1,22.456,22,1798,,BrewIQ,SHU Lager
11/09/2024 19:32,32.53,0.27,4.99,11.5,0.08,22.1,22.456,22,1803,,BrewIQ,SHU Lager
11/09/2024 19:52,32.87,0.27,4.99,11.5,0.08,22.1,22.456,22,1799,,BrewIQ,SHU Lager
11/09/2024 20:12,33.2,0.27,4.98,11.4,0.09,22.2,22.556,22,1806,,BrewIQ,SHU Lager
11/09/2024 20:32,33.53,0.27,5,11.4,0.08,21.8,22.156,22,1792,,BrewIQ,SHU Lager
11/09/2024 20:52,33.87,0.28,4.95,11.3,0.09,21.8,22.156,22,1808,,BrewIQ,SHU Lager
11/09/2024 21:12,34.2,0.28,4.98,11.3,0.08,21.9,22.256,22,1807,,BrewIQ,SHU Lager
11/09/2024 21:32,34.53,0.28,4.96,11.2,0.09,22,22.356,22,1809,,BrewIQ,SHU Lager
11/09/2024 21:52,34.87,0.28,4.96,11.2,0.09,22,22.356,22,1811,,BrewIQ,SHU Lager
11/09/2024 22:12,35.2,0.27,4.96,11.1,0.09,22.1,22.456,22,1804,,BrewIQ,SHU Lager
11/09/2024 22:32,35.53,0.27,4.94,11,0.08,22.1,22.456,22,1809,,BrewIQ,SHU Lager
11/09/2024 22:52,35.87,0.27,5,11,0.09,22.2,22.556,22,1810,,BrewIQ,SHU Lager
11/09/2024 23:12,36.2,0.27,4.99,10.9,0.08,21.8,22.156,22,1796,,BrewIQ,SHU Lager
11/09/2024 23:32,36.53,0.28,4.99,10.8,0.08,21.9,22.256,22,1806,,BrewIQ,SHU Lager
11/09/2024 23:52,36.87,0.28,4.99,10.8,0.09,21.9,22.256,22,1802,,BrewIQ,SHU Lager
11/10/2024 00:12,37.2,0.28,4.97,10.7,0.08,22,22.356,22,1806,,BrewIQ,SHU Lager
11/10/2024 00:32,37.53,0.28,4.94,10.6,0.09,22.1,22.456,22,1806,,BrewIQ,SHU Lager
11/10/2024 00:52,37.87,0.27,4.97,10.5,0.09,22.1,22.456,22,1807,,BrewIQ,SHU Lager
11/10/2024 01:12,38.2,0.27,4.98,10.4,0.08,22,22.356,21,1801,,BrewIQ,SHU Lager
11/10/2024 01:32,38.53,0.28,4.96,10.4,0.09,21.8,22.156,21,1795,,BrewIQ,SHU Lager
11/10/2024 01:52,38.87,0.28,4.98,10.3,0.09,21.9,22.256,21,1801,,BrewIQ,SHU Lager
11/10/2024 02:12,39.2,0.28,4.98,10.2,0.09,22,22.356,21,1803,,BrewIQ,SHU Lager
11/10/2024 02:32,39.53,0.28,4.93,10.1,0.09,22.1,22.456,21,1802,,BrewIQ,SHU Lager
11/10/2024 02:52,39.87,0.27,4.99,10.1,0.09,22.1,22.456,21,1801,,BrewIQ,SHU Lager
11/10/2024 03:12,40.2,0.28,4.98,10,0.09,21.9,22.256,21,1790,,BrewIQ,SHU Lager
11/10/2024 03:32,40.53,0.28,4.94,9.9,0.09,21.9,22.256,21,1797,,BrewIQ,SHU Lager
11/10/2024 03:52,40.87,0.28,4.99,9.8,0.09,22,22.356,21,1796,,BrewIQ,SHU Lager
11/10/2024 04:12,41.2,0.28,4.96,9.8,0.09,22.1,22.456,21,1794,,BrewIQ,SHU Lager
11/10/2024 04:32,41.53,0.27,4.95,9.6,0.09,22.2,22.556,21,1793,,BrewIQ,SHU Lager
11/10/2024 04:52,41.87,0.27,4.93,9.5,0.09,22.1,22.456,21,1788,,BrewIQ,SHU Lager
11/10/2024 05:12,42.2,0.27,4.98,9.5,0.09,21.9,22.256,21,1785,,BrewIQ,SHU Lager
11/10/2024 05:32,42.53,0.28,4.93,9.4,0.09,21.9,22.256,21,1792,,BrewIQ,SHU Lager
11/10/2024 05:52,42.87,0.28,4.96,9.3,0.09,22,22.356,21,1790,,BrewIQ,SHU Lager
11/10/2024 06:12,43.2,0.27,4.95,9.2,0.08,22.1,22.456,21,1792,,BrewIQ,SHU Lager
11/10/2024 06:32,43.53,0.27,4.98,9.1,0.08,22.2,22.556,21,1790,,BrewIQ,SHU Lager
11/10/2024 06:52,43.87,0.27,4.94,9,0.09,21.8,22.156,21,1767,,BrewIQ,SHU Lager
11/10/2024 07:12,44.2,0.28,4.91,9,0.09,21.9,22.256,21,1783,,BrewIQ,SHU Lager
11/10/2024 07:32,44.53,0.28,4.94,8.9,0.09,22,22.356,21,1788,,BrewIQ,SHU Lager
11/10/2024 07:52,44.87,0.28,4.95,8.8,0.09,22.1,22.456,21,1787,,BrewIQ,SHU Lager
11/10/2024 08:12,45.2,0.27,4.95,8.7,0.08,22.1,22.456,21,1786,,BrewIQ,SHU Lager
11/10/2024 08:32,45.53,0.27,4.91,8.6,0.08,21.8,22.156,21,1771,,BrewIQ,SHU Lager
11/10/2024 08:52,45.87,0.28,4.93,8.6,0.09,21.9,22.256,21,1783,,BrewIQ,SHU Lager
11/10/2024 09:12,46.2,0.28,4.95,8.5,0.09,21.9,22.256,21,1785,,BrewIQ,SHU Lager
11/10/2024 09:32,46.53,0.28,4.9,8.4,0.08,22,22.356,21,1781,,BrewIQ,SHU Lager
11/10/2024 09:52,46.87,0.27,4.88,8.3,0.09,22.1,22.456,21,1785,,BrewIQ,SHU Lager
11/10/2024 10:12,47.2,0.27,4.94,8.2,0.09,22.2,22.556,21,1783,,BrewIQ,SHU Lager
11/10/2024 10:32,47.53,0.27,4.91,8.1,0.08,21.9,22.256,21,1759,,BrewIQ,SHU Lager
11/10/2024 10:52,47.87,0.28,4.88,8,0.09,21.9,22.256,21,1766,,BrewIQ,SHU Lager
11/10/2024 11:12,48.2,0.28,4.92,7.9,0.08,22,22.356,21,1769,,BrewIQ,SHU Lager
11/10/2024 11:32,48.53,0.28,4.89,7.9,0.09,22.1,22.456,21,1768,,BrewIQ,SHU Lager
11/10/2024 11:52,48.87,0.27,4.9,7.7,0.09,22.2,22.556,22,1765,,BrewIQ,SHU Lager
11/10/2024 12:12,49.2,0.27,4.89,7.7,0.08,22.2,22.556,22,1761,,BrewIQ,SHU Lager
11/10/2024 12:32,49.53,0.27,4.87,7.6,0.08,21.9,22.256,22,1752,,BrewIQ,SHU Lager
11/10/2024 12:52,49.87,0.27,4.85,7.5,0.09,22,22.356,22,1756,,BrewIQ,SHU Lager
11/10/2024 13:12,50.2,0.27,4.91,7.4,0.08,22.1,22.456,22,1753,,BrewIQ,SHU Lager
11/10/2024 13:32,50.53,0.27,4.87,7.3,0.08,22.2,22.556,22,1757,,BrewIQ,SHU Lager
11/10/2024 13:52,50.87,0.27,4.87,7.3,0.09,22.2,22.556,22,1756,,BrewIQ,SHU Lager
11/10/2024 14:12,51.2,0.27,4.85,7.2,0.08,21.9,22.256,22,1739,,BrewIQ,SHU Lager
11/10/2024 14:32,51.53,0.28,4.87,7.1,0.09,22,22.356,22,1749,,BrewIQ,SHU Lager
11/10/2024 14:52,51.87,0.27,4.83,7,0.09,22,22.356,22,1745,,BrewIQ,SHU Lager
11/10/2024 15:12,52.2,0.27,4.85,6.9,0.08,22.1,22.456,22,1745,,BrewIQ,SHU Lager
11/10/2024 15:32,52.53,0.27,4.82,6.8,0.09,22.2,22.556,22,1747,,BrewIQ,SHU Lager
11/10/2024 15:52,52.87,0.27,4.87,6.8,0.09,22.1,22.456,22,1734,,BrewIQ,SHU Lager
11/10/2024 16:12,53.2,0.27,4.85,6.8,0.09,21.9,22.256,22,1736,,BrewIQ,SHU Lager
11/10/2024 16:32,53.53,0.27,4.85,6.6,0.09,22,22.356,22,1734,,BrewIQ,SHU Lager
11/10/2024 16:52,53.87,0.27,4.81,6.6,0.09,22,22.356,22,1738,,BrewIQ,SHU Lager
11/10/2024 17:12,54.2,0.27,4.85,6.4,0.09,22.1,22.456,22,1734,,BrewIQ,SHU Lager
11/10/2024 17:32,54.53,0.27,4.84,6.4,0.08,22.2,22.556,22,1740,,BrewIQ,SHU Lager
11/10/2024 17:52,54.87,0.28,4.81,6.3,0.08,21.9,22.256,22,1729,,BrewIQ,SHU Lager
11/10/2024 18:12,55.2,0.27,4.83,6.3,0.09,21.9,22.256,22,1732,,BrewIQ,SHU Lager
11/10/2024 18:32,55.53,0.28,4.83,6.1,0.09,22,22.356,22,1733,,BrewIQ,SHU Lager
11/10/2024 18:52,55.87,0.27,4.85,6.1,0.08,22,22.356,22,1731,,BrewIQ,SHU Lager
11/10/2024 19:12,56.2,0.27,4.8,6.1,0.09,22.1,22.456,22,1735,,BrewIQ,SHU Lager
11/10/2024 19:32,56.53,0.27,4.85,5.9,0.09,22.2,22.556,22,1734,,BrewIQ,SHU Lager
11/10/2024 19:52,56.87,0.27,4.83,5.9,0.08,22.2,22.556,22,1726,,BrewIQ,SHU Lager
